image_name,display_name,website_link,location,tags,short_description
fursewna-logo.png,Fursewna Studios,http://www.fursewnastudios.com/,Dealer's Den #19,Dealers Den || Fursuits || Stickers || Pins || Fursuit Parts || Commissions,"Fursewna Studios specializes in unique fursuit builds that stretch the imagination. Our studio loves to create one-of-a-kind creatures, both cute and creepy. Our booth offers premade fursuits typically themed to the convention as well as stickers, enamel pins, plush props, fursuit construction pieces and more! We also offer services for custom onesie pajamas, fursuits and plush goods. So come on down and take a look at all the fantastic wares and wonders that await!"
logolarge - Glitzy Fox Studios (Glitzy).jpg,Glitzy Fox Studios,https://glitzyfoxstudios.com/,Dealer's Den #33,Dealers Den || Fursuits || Fursuit Parts || Keychains || Dakimakuras || Bags || Blankets || Apparel,We work with furry artists around the world to bring an amazing selection of Dakimakuras/ Body Pillows and prints.
GD 2019 Portrait ICON - Golden Druid.jpg,Golden Druid,http://goldendruid.com/,Dealer's Den #37,Dealers Den || Art Prints || Shirts || Stickers || Lanyards,"For nearly 20 years, GoldenDruid has worked as a professional artist. She creates her work digitally and has it available in the format of prints, stickers, shirts, and other merch. A small handful of commissions will be available at con as well. Be sure to also check out her Ultimate Badge Lanyards, you know, the one's you see at all the cons now with the multiple built in clips to hold all your badges? Those!"
HOODIEDOGS_LOGO_2023 - January Bridges.jpg,hoodiedogs,https://twitter.com/hoodiedogs_,Dealer's Den #35,Dealers Den || Traditional Art || Stickers || Commissions || Apparel || Silk-Screen Prints || Keychains || Pins || Art Prints,"I am an artist and designer who has been doodling around the furry community for over ten years now! My main specialty is traditional art in the form of watercolor, colored pencil and gouache, and I really love offering at-con commissions for badges and the like. I will also be bringing my large catalogue of stickers, postcards, screen-printed merchandise and much more!"
pbanner - Josh.jpg,Joshiah's Written Works,https://twitter.com/The_Joshiah,Dealer's Den #10,Dealers Den || Author || Books || Erotic,"Joshiah's Written Works is here to spice up your night life! Whether you're looking for a steamy romance or a kinky classic, we've got the words to get the job done."
kaiju-cafe-logo.jpg,Kaiju Kafe,https://kaijukafe.carrd.co/,Dealer's Den #18,Dealers Den || Stickers || Bags || Keychains || Art Prints || Tea,Hi I'm SIN and I draw beefy monsters and write zines. My style is a mix of if Bara and Vaperwave lol.
Color-1 - Mio.jpg,LakeMutt,https://lake-mutt.com/,Dealer's Den #30,Dealers Den || Shirts || Stickers || Pins || Bags || Commissions,"Heya! We're LakeMutt! An indigenous ran business! We love to make cute designs around nature & from our home state, Minnesota! You'll find lots of cute shirts, button ups, charms, stickers & more! We also do at con badges!"
logo - Lindsey Burcar.jpg,"Lindsey ""Rhos"" Burcar Art",https://www.lindseyburcar.com/,Dealer's Den #31,Dealers Den || Art Prints || Playmats || Mousepads || Stickers || Pins || Bags || Commissions,"Hi I'm Lindsey/Rhos! I am an independent artist inspired by all things fantasy and nature. I illustrate both realistic and stylized depictions of creatures and characters in natural and imaginary landscapes. I'm also big D&D nerd, and have art related to my streamed TTRPG group, Dorks in Danger! I sell's my work as prints, on play mats, mouse pads, pins, stickers, canvas prints, and together with my wife also sell handmade tote and dice bags! I will be taking a very limited number of sketchbook commissions this convention, and have a particular interest in D&D and fantasy themed characters. www.LindseyBurcar.com lindsey.burcar@gmail.com etsy.com/shop/TheWyvernsTrove"
logocolor_copy_1467x1462 - Liz Bie.jpg,Lizbie Cafe,https://lizbiecafe2.carrd.co/,Dealer's Den #26,Dealers Den || Pins || Keychains || Art Prints || Stickers || Stationery || Bags || Plushes,"Lizbie Cafe is a small shop that specializes in creating enamel pins, keychains, standees, stationery, bags, and other unique items all focused around nostalgia, adorable animals, and comfort food."
IMG_20231018_170638_518 - Sema.jpg,Lycantasy,https://lycantasy.com,Night Market #8-9,Night Market || Silicone Adult Toys,"At this trans-owned adult toy company, we've conjured a world of Cryptid-themed creations. Our designs embrace inclusivity and accessibility that transform fantasies into tangible experiences for all. All our toys are meticulously and locally handcrafted!"
maim reynard husky in a box FULL - D. Maim.jpg,Maimface,https://www.instagram.com/maimface/,Dealer's Den #5,Dealers Den || Keychains || Lanyards || Stickers || Fursuit Parts || Fursuits,Fursuits and fursuit DIY supplies by Maim and ReynardHusky
Logo malmseyy - Tapioca.jpg,Malmseyy,https://malmseyy.com/,Dealer's Den #29,Dealers Den || Headwear || Apparel || Plushes || Charms || Art Prints || Lanyards || Bags,"Malmseyy is a brand based around cute mascots, with a hit of cursed."
matchapeaches.png,Matchapeaches Art,https://www.matchapeaches.art,Dealer's Den #25,Dealers Den || Art Prints || Playmats || Keychains || Stickers || Figurines,"Artwork showcasing a deep love for Narrative and Fantasy. Depictions of Dragons, creatures, and anthropomorphic animals, often in whimsical scenes, present strongly in a body of work that appears on Art Prints, Playmats. Bookmarks, and various other Goodies!"
Mokos_Makery_F2_Logo.png,Moko's Makery,https://www.mokosmakery.com/,Dealer's Den #36,Dealers Den || Plushes || Figurines || Keychains || Pins || Bags,"Moko's Makery offers hand painted resin figures, custom fursona plushes, both digital and traditional badge commissions, and an array of merchandise such as totebags, keychains, lanyards, and much more! We also have a unique garapon game that we're excited for you to try!"
mom icon purple - Nick G.jpg,Monstrous On Main,https://www.monstrousonmain.com/,Night Market #2,Night Market || Dakimakuras || Keychains || Buttons || Masks || Art Prints || Commissions,"Monstrous On Main boasts 30+ unique body pillow designs of monster & furry characters, as well as themed buttons & keychains, art prints, & creature-inspired face masks. Commission inquiries welcome."
otter-chaos-logo.png,Otter Chaos,https://twitter.com/OtterChaosVGM,Dealer's Den Performer Table,Dealers Den || Performer Table,"Otter Chaos! is a collective of furry performers and arrangers of video game music! They combine jazz improv with classic video game tunes from games like Mario, Zelda, Sonic, and Pokémon. The result is a uniquely chaotic show featuring an eclectic group of instruments. You can listen to their past performances at youtube.com/@OtterChaosVGM or click this card to go to their twitter."
Color-1 - Olivia Lien.jpg,Papaya Badger,https://papayabadger.com,Dealer's Den #1,Dealers Den || Pins || Plushes || Bags || Premade Badges || Blankets,"Papaya Badger is a vector artist that makes enamel pins, tote bags, blankets, and consent badges. Please feel free to stop by and write a good bye letter or draw Milo at the TFOTR memorial table along side Papaya's."
Pawgyle icon 3 - Harrison Q.jpg,Pawgyle,https://pawgyle.carrd.co/,Dealer's Den #4,Dealers Den || Commissions || Art Prints || Keychains || Pins || Plushes || Stickers || Buttons || Stationery || Mousepads || Charms,"Step right up to see our circus-themed marvels, kidcore wonders, cottagecore dreams, nostalgia-core gems, and cute animal products to make your heart skip a beat. We offer custom commissions, cute trinkets and prints!"
business cards - Brianna.jpg,Plant Panda Studios,https://linktr.ee/Plantpanda,Dealer's Den #27,Dealers Den || Dakimakuras || Stickers || Jewelry || Keychains || Commissions || Art Prints || Pins || Buttons,"We, here at Plant Panda Studios, cater to a wide variety of customers from the plant lovers, to the pool toy and plush scenes, we even cater to the SFW Abdl scene by creating a friendly plant themed display we sprouted and grew in 2020. Our artwork includes cute animals, plants, various fandoms, and the occasional bug or two. We offer a wide range of products including the following: Dakis, Sticker books, Standees, magnets, lanyards, keychains, pins, buttons, commissions, and much much more."
pleasefeedbear-logo.png,Please Feed The Bear,https://www.pleasefeedthebear.com,Night Market #5,Night Market || Art Prints || Keychains || Stickers || Pins || Commissions || Drinkware,"HI I'M CANDY!! An artist in the fandom for 15 years, I make tons of stickers, pins, prints and other little things as well as custom badges and digital art commissions. I excel mostly in my more adult artwork. :3c Come say hi!"
IMG_0407 - Laura Pearson.jpg,Quack Quack Honk Designs,https://www.quackquackhonk.com,Dealer's Den #34,Dealers Den || Traditional Art || Art Prints || Stickers || Commissions,"I draw and color whimsical art of animals with food and/or drinks. Get a cool original, buy a print, acquire a sticker, and/or commission something unique to you."
Frontbleed - Elizabeth Appel.jpg,Regally Wild,https://regallywild.com/,Night Market #3,Night Market || Leather || Collars || Harnesses || Belts,"Handmade vegan leather alternative apparel ranging from collars and chokers to harness and belts. Our materials are designed for comfort and durability. Waterproof, odor resistant, and easy to maintain!"
cosmik-and-rhubarb.jpg,RHUBARB & COSMIK,https://www.facebook.com/TheRealCosmik/,Dealer's Den Performer Table,Dealers Den || Performer Table || Music || Pins,"Rhubarb the Bear and Cosmik are both professional musicians who enjoy sharing their talents with the fandom. They're not sure how they got so famous, but they've been inside Firr's dome house, so they must be pretty up there. They don't have much to sell, but they'll happily sing you a song and say “Howdy!”"
rob-hogan-logo.png,Rob Hogan Creates,https://robhogan.me,Dealer's Den #6,Dealers Den || Commissions || Traditional Art,"I attend fan conventions and paint pop culture characters as well as people who cosplay and dress up in costumes as those characters. I use color and techniques similar to Van Gogh and Toulouse-Lautrec to portray fans and the culture in vibrant and unique ways. I use these styles to create parody works of pop culture, which I call fine art memes."
logo 3 - Simple Nick's (SimpleNick's).jpg,Simple Nick's,https://simplenicks.com/pages/,Dealer's Den #24,Dealers Den || Fursuit Parts || Apparel || Collars || Glasses,For every convention we typically bring: 3 fursuit partials (themed to match convention or holiday usually) 6 shirt designs (all are dyed and printed in our shop) several cross body bags and mot recently we offer cheap fursuit glasses (7 color options) and plush fursuit collars ( also in rainbow.)
Com_LogoSmilodon - Serathin Sabertooth.jpg,Smilodon Studio,https://www.smilodonstudio.com/,Dealer's Den #17,Dealers Den || Author || Books || Erotic || Figurines || Candles || Art Prints,"Books galore, most with a fantasy or sci-fi theme. Both adult and clean titles available. Also selling the Void Protocol comic series, prints from the comic, and resin sculptures as well as candles with over twenty different scents!"
sparkle-kreations-logo.jpg,Sparkle Kreations,https://www.sparklekreations.com/,Dealer's Den #9,Dealers Den || Fursuit Parts || Fursuits || Apparel,"""Fantastically Fluffy"" Tails, Fursuits, Props, and more! We have all varieties of furry, avian, scaled, and other species, too!! We have other fun stuff like handpaws and shirts, too. Check out our webstore for more tail options available to purchase after the con; and information regarding custom commissions for fursuits and more is on our website."
statiik-logo.png,STATIIK ART LLC,https://statiik.bigcartel.com/,Night Market #7,Night Market || Art Prints || Stickers || Headwear || Shirts || Pins || Commissions,"Hey, I'm a local NSFW artist! I take pride in developing a diverse portfolio, meaning I draw all body types, species, gender expressions, and more. Also, I draw pinups, group illustrations, and comics! My merch includes prints, tins, sprays, stickers, hats, shirts, and pins!"
FConline - Oli Owle.jpg,Sweet Cream Arts,https://www.instagram.com/sweetcreamarts/,Dealer's Den #23,Dealers Den || Pins || Bags || Signs || Blankets || Scarves || Banners,"A team that enjoys making furry-related products including signs, pins, bags, scarves, shirts and more."
300x600 px talenshi listing for dealer pages - Karen Swartz.jpg,Talenshi Studios,https://www.talenshistudios.com/,Dealer's Den #12,Dealers Den || Books || Art Prints || Traditional Art || Figurines || Woodwork,"Karen/ Talenshi is an illustrator with a love of birds, fantasy, and all things textural and tactile. Justin is a scientist with skills in coding and engineering, who also loves animals and making useful physical objects. Together we invented our refillable magnetic journal system, and we love creating things that bring magic to everyday life. We are also creating the Birds at Arms Project together. Come see our magnetic journals & sketchbooks, hand-crafted enchanted (light-up) flower pins, whimsical resin printed creatures that come with paints and brushes, funny wooden signs and prints of Talenshi's fantastical bird illustrations."
Screenshots_2023-10-21-10-42-35 - Spooky Sniper.jpg,The Spooky Sniper,https://thespookysniper.wixsite.com/commission,Dealer's Den #16,Dealers Den || Fursuits || Figurines || Charms || Stickers || Art Prints,"Your spooky spot for handmade goodies, charms, unique monstrous designs and unforgettable vibes. Be Alarming."
TM Logo - Triangle Manor.jpg,Triangle Manor,https://linktr.ee/trianglemanor,Dealer's Den #22,Dealers Den || Silk-Screen Prints || Silk-Screen Patches || Headwear || Masks || Shirts || Stickers || Commissions,"Triangle Manor is a Queer Furry, screen printing art collective based out of the Boston, MA area. We plan to have HAND PRINTED empowering & queer shirts, masks, stickers, punk patches, and custom clothing commissions at the table!"
F2 Small 2 - Vellum F_.jpg,Wolfen Creations - Artwork of Vellum,https://www.furaffinity.net/user/vellum/,Night Market #6,Night Market || Shirts || Commissions || Stickers || Art Prints,"Vellum offers a variety of merchandise such as stickers, prints, originals, T-shirts, and more. There are also limited availabilities of at-con sketch commissions!"
Wooperworks-300x600-Logo - Sara Jensen.jpg,Wooperworks,https://www.furaffinity.net/gallery/rikkoshaye/,Dealer's Den #28,Dealers Den || Commissions || Art Prints || Buttons || Pins || Keychains || Drinkware || Shirts || Apparel,"Wooper will be offering traditional commissions completed at-con (including sushi badges, boba tea badges, taco badges, and googly-eye badges), prints, stickers, buttons, pins, acrylic keychains, mugs, and t-shirts. Common themes include cute animals, sushi, Pokemon, and Egyptian mythology"
zenoplaceholder.png,Zenophrenic,https://zenophrenic.carrd.co/,Dealer's Den #20,Dealers Den || Art Prints || Stickers || Keychains || Plushes || Commissions,"ZENOPHRENIC works multiple mediums such as Copic, Sharpie, paint, fabric and digital to bring you gnarled and neon monsters in a variety of ways. Sketch commissions in blacklight reactive ink are available at the con, as well as blacklight custom badges."
status-ferret-logo.png,Status Ferret,https://statusferret.com,Dealer's Den Performer Table,Dealers Den || Music,Self-taught ex-NY based musician and performer for over 12 years.
